number,model,rating,final_price,original_price,price_difference
103,samsung galaxy a10 (black 32 gb),4.4,8490,9600,1110.0
104,niamia cad 3,3.6,799,999,200.0
105,honor 9i (aurora blue 64 gb),4.3,10999,19999,9000.0
106,honor 9i (graphite black 64 gb),4.3,10999,19999,9000.0
107,vivo nex (black 128 gb),4.3,39990,39990,0.0
108,redmi 6a (gold 16 gb),4.3,6440,6440,0.0
109,i kall k2180,3.6,549,599,50.0
110,i kall k72 pack of three mobiles,3.2,989,2100,1111.0
111,nokia 105 dual sim 2017,4.2,1100,1100,0.0
112,fox sultan,3.9,879,1099,220.0
113,samsung guru music 2,4.3,1625,1760,135.0
114,niamia cad1 combo of two mobiles,0,1119,1399,280.0
115,micromax spark go (rose gold 8 gb),4.2,3999,4999,1000.0
116,micromax spark go (silver 8 gb),4.2,3999,4999,1000.0
117,redmi 6a (rose gold 32 gb),4.3,6799,6999,200.0
118,oppo a5s (red 32 gb),4.4,9990,12990,3000.0
119,oppo a5s (black 32 gb),4.4,9990,12990,3000.0
120,forme n1,3.5,599,630,31.0
121,oppo k1 (piano black 64 gb),4.5,16990,18990,2000.0
122,oppo k1 (astral blue 64 gb),4.5,16990,18990,2000.0
123,samsung galaxy on max (gold 32 gb),4.3,10990,16900,5910.0
124,niamia cad 2,3.3,799,999,200.0
125,samsung galaxy a20 (red 32 gb),4.4,12490,12900,410.0
126,lg g7 thinq (black 64 gb),4.5,27999,50000,22001.0
127,lg g7 thinq (platinum 64 gb),4.5,27999,50000,22001.0
128,redmi note 6 pro (black 64 gb),4.5,15999,17999,2000.0
129,nokia 105,4.2,1050,1050,0.0
130,niamia cad 1 combo of two mobiles,3.3,1119,1399,280.0
131,i kall k3311,3.8,649,699,50.0
132,micromax x1i pop,3.9,749,1099,350.0
133,micromax x1i pop,3.9,749,1099,350.0
134,niamia cad 3,3.6,799,999,200.0
135,micromax x1i pop,3.9,749,1099,350.0
136,gfive champ,3.5,755,755,0.0
137,gfive champ,3.5,755,755,0.0
138,karbonn k888 metal,3.7,1449,1740,291.0
139,samsung galaxy j8 (black 64 gb),4.4,14990,17000,2010.0
140,niamia cad 3,3.6,799,999,200.0
141,adcom a1 selfie voice changer phone,3.4,670,730,60.0
142,rocktel w8,3.6,599,599,0.0
143,panasonic eluga ray 600 (gold 32 gb),4.1,6999,12999,6000.0
144,i kall k72 pack of three mobiles,3.2,989,2100,1111.0
145,moto e5 (fine gold 16 gb),4.3,7045,7365,320.0
146,i kall k130 new,4,589,599,10.0
147,redmi note 5 pro (blue 64 gb),4.5,12749,14999,2250.0
148,samsung galaxy s10 (prism white 128 gb),4.7,66900,71000,4100.0
149,kechaoda k112,3.8,1125,1150,25.0
150,niamia cad 2,3.3,799,999,200.0
151,karbonn k-phone 1,3.8,1159,1159,0.0
152,moto one (black 64 gb),0,13999,14999,1000.0
153,nokia 150,4.2,1859,1889,30.0
154,niamia cad 1 combo of two mobiles,3.3,1119,1399,280.0
155,realme c1 (navy blue 32 gb),4.4,8499,9999,1500.0
156,realme c1 (mirror black 32 gb),4.4,8499,9999,1500.0
157,poco f1 by xiaomi (graphite black 256 gb),4.6,27999,30999,3000.0
158,redmi 6a (gold 16 gb),4.3,6440,6440,0.0
159,reach champ i3,3.5,619,619,0.0
160,niamia cad 3,3.6,799,999,200.0
161,apple iphone 6s plus (rose gold 32 gb),4.4,34900,34900,0.0
162,karbonn kx2,3.9,787,787,0.0
163,nokia 1 (warm red 8 gb),4,3625,4295,670.0
164,niamia cad 3,3.6,799,999,200.0
165,ecotel e12,3.4,499,499,0.0
166,kechaoda k116 plus,4,899,920,21.0
167,kechaoda k116 plus,3.9,899,910,11.0
168,infocus selfie c1,3.9,668,749,81.0
169,vivo y91 (starry black 32 gb),4.4,9990,11990,2000.0
170,niamia cad 2,3.3,799,999,200.0
171,i kall k2180 pack of two mobile,3.6,955,955,0.0
172,mu m370,4.5,820,820,0.0
173,rocktel w8,3.6,599,599,0.0
174,niamia cad 1 combo of two mobiles,3.3,1119,1399,280.0
175,panasonic eluga ray 700 (mocha gold 32 gb),3.6,6990,8990,2000.0
176,samsung galaxy on max (black 32 gb),4.3,10990,16900,5910.0
177,i kall k72 pack of three mobiles,3.2,989,2100,1111.0
178,xolo era 4x (gold 16 gb),4.1,4499,4499,0.0
179,xolo era 4x (black 16 gb),3.8,5199,7199,2000.0
180,niamia cad 3,3.6,799,999,200.0
