number,model,rating,offer_price,original_price,price_difference
75,fitbit charge 3 fitness tracking band (fb410rggy-cjk blue-grey and rose-gold),0,13999.00,13999.00,0.0
76,skullcandy venue active noise cancelling wireless headphones (black),0,18999.00,18999.00,0.0
77,vivo y95 (black 64 gb 4 gb ram),0,14990.00,18990.00,4000.0
78,skullcandy riff on-ear bluetooth headphones (black),4,5999.00,5999.00,0.0
79,stuffcool pluto 2.1 amp single usb wall charger,0,599.00,699.00,100.0
80,stuffcool chief 2.4 amp sync and charge lightning cable,0,1199.00,1899.00,700.0
81,google fabric back case cover for pixel 3 (indigo),0,2399.00,2399.00,0.0
82,google usb-c to .35 cm adaptor cable (white),0,1490.00,1490.00,0.0
83,stuffcool rego pu leather back case cover for samsung galaxy a9 2018,0,599.00,599.00,0.0
84,stuffcool mighty 2.5d full screen tempered glass screen protector for oneplus 6t,0,999.00,1000.00,1.0
85,samsung galaxy sm-r800nzsatgy 4.6 cm bluetooth watch (silver),4,29990.00,29990.00,0.0
86,samsung galaxy watch (sm-r810n black),4,24990.00,24990.00,0.0
87,stuffcool 3d screen protector for google pixel 3 xl,0,1699.00,1699.00,0.0
88,oneplus flip case cover for oneplus 6t (black),0,1290.00,1290.00,0.0
89,oneplus protective back case cover for oneplus 6t (sandstone),0,990.00,990.00,0.0
90,belkin pocket power f7u020bt 10000 mah power bank (black),0,3999.00,3999.00,0.0
91,samsung galaxy a9 (blue 128 gb 6 gb ram),4,33990.00,36990.00,3000.0
92,belkin screenforce tempered curve screen protector for iphone 6s/7/8 (black),0,1299.00,1999.00,700.0
93,belkin tempered glass screen protector for iphone 6 plus/7 plus/8 plus,0,1399.00,1999.00,600.0
94,belkin screenforce tempered glass screen protector for iphone x,0,1899.00,3499.00,1600.0
95,belkin f2cu012bt2m micro usb charging cable (white),0,399.00,599.00,200.0
96,belkin 5000 mah power bank (f7u019btblk black),0,2599.00,2599.00,0.0
97,belkin boost up universal car charger with micro usb cable (f8m890bt04 black),0,999.00,1999.00,1000.0
98,belkin f2cu012bt04 micro usb charging cable (white),0,299.00,399.00,100.0
99,belkin mixit up usb type c cable (f2cu032bt06 black),0,899.00,1299.00,400.0
100,belkin mixit duratek kevlar f8j207bt04 lightning to usb cable (black),0,1999.00,2499.00,500.0
101,belkin f2cu012bt2m micro usb charging cable (black),0,399.00,599.00,200.0
102,neopack folio case for apple ipad pro 10.5'' (26.7 cm) (black),0,1594.00,2499.00,905.0
103,belkin mixit duratek kevlar f8j207bt04 lightning to usb cable (silver),0,1999.00,2499.00,500.0
104,neopack folio case cover for 24.638 cm apple ipad pro (black),0,4499.00,5990.00,1491.0
105,blackberry key2 le (black 32 gb 4 gb ram),4,29990.00,34990.00,5000.0
106,neopack folio case with stylus holder for new ipad 9.7" (black),0,2199.00,2499.00,300.0
107,neopack delta case / flip case for new ipad 9.7" (tan),0,1499.00,1990.00,491.0
108,merlin miracle selfie stick (black),0,349.00,399.00,50.0
109,oneplus bullets bt32b wireless earphones (black),0,3990.00,3990.00,0.0
110,oppo f9 pro (starry purple 128 gb 6 gb ram),4,23990.00,27990.00,4000.0
111,redmi poco f1 (graphite black 256 gb 8 gb ram),4,28749.00,30999.00,2250.0
112,redmi poco f1 (graphite black 128 gb 6 gb ram),4,23749.00,24999.00,1250.0
113,nokia 3.1 plus (blue 32 gb 3 gb ram),4,9499.00,12799.00,3300.0
114,nokia 8110 4g (yellow 4 gb 512 mb ram),4,4999.00,6349.00,1350.0
115,nokia 8110 4g (black 4 gb 512 mb ram),4,4999.00,6349.00,1350.0
